Country,Small Gem Pack Product ID,Small Gem Pack Suggested Price,Medium Gem Pack Product ID,Medium Gem Pack Suggested Price,Note
Croatia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
United Arab Emirates,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Cote d'Ivoire,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Cong hoa Dominica,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Cong hoa Trung Phi,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Djibouti,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Dominica,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Ecuador,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
El Salvador,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Eritrea,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Estonia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Fiji,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Gabon,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Gambia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Georgia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Ghana,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Gibraltar,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Grenada,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Guatemala,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Guinea,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Guinea-Bissau,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Haiti,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Hoa Ky,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Honduras,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Hungary,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Hy Lap,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Ha Lan,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Han Quoc,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Hong Kong,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Iceland,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Indonesia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Iraq,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Ireland,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Israel,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Italy,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Jamaica,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Jordan,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Kazakhstan,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Kenya,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Kuwait,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Kyrgyzstan,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Latvia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Li-bang,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Liberia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Libya,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Liechtenstein,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Litva,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Luxembourg,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Lao,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Ma-roc,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Macao,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Malaysia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Maldives,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Mali,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Malta,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Mauritius,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Mexico,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Micronesia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Moldova,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Monaco,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Mozambique,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Myanmar,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Mong Co,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Na Uy,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Nam Phi,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Namibia,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Nepal,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
New Zealand,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Nga,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Nhat Ban,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Nicaragua,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Niger,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Nigeria,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
Oman,eco_garden_gems_small,0.99 USD,eco_garden_gems_medium,1.99 USD,Use Google Play auto-converted local price
